kutu_alt_m,kutu_ust_m,kutu_orta_m,kutu_orta_cm,sayim,PDF,CDF
-0.46,-0.44,-0.45,-45.0,10,2.9279490302632813e-05,2.9279490302632813e-05
-0.44,-0.42,-0.43,-43.0,149,0.0004362644055092289,0.0004655438958118617
-0.42,-0.39999999999999997,-0.41,-41.0,220,0.0006441487866579218,0.0011096926824697836
-0.39999999999999997,-0.37999999999999995,-0.38999999999999996,-38.99999999999999,233,0.0006822121240513445,0.001791904806521128
-0.37999999999999995,-0.35999999999999993,-0.36999999999999994,-36.99999999999999,368,0.0010774852431368876,0.002869390049658016
-0.35999999999999993,-0.3399999999999999,-0.3499999999999999,-34.99999999999999,406,0.001188747306286892,0.004058137355944908
-0.3399999999999999,-0.3199999999999999,-0.3299999999999999,-32.99999999999999,487,0.001425911177738218,0.0054840485336831255
-0.3199999999999999,-0.2999999999999999,-0.3099999999999999,-30.99999999999999,887,0.0025970907898435302,0.008081139323526656
-0.2999999999999999,-0.27999999999999986,-0.28999999999999987,-28.999999999999986,1286,0.0037653424529185795,0.011846481776445235
-0.27999999999999986,-0.25999999999999984,-0.26999999999999985,-26.999999999999986,1545,0.00452368125175677,0.016370163028202003
-0.25999999999999984,-0.23999999999999982,-0.24999999999999983,-24.999999999999982,1775,0.005197109528717324,0.02156727255691933
-0.23999999999999982,-0.2199999999999998,-0.22999999999999982,-22.999999999999982,2576,0.007542396701958213,0.029109669258877542
-0.2199999999999998,-0.1999999999999998,-0.2099999999999998,-20.99999999999998,3781,0.011070575283425466,0.04018024454230301
-0.1999999999999998,-0.17999999999999977,-0.18999999999999978,-18.99999999999998,5001,0.014642673100346669,0.05482291764264968
-0.17999999999999977,-0.15999999999999975,-0.16999999999999976,-16.999999999999975,7347,0.021511641525344325,0.076334559167994
-0.15999999999999975,-0.13999999999999974,-0.14999999999999974,-14.999999999999975,9966,0.02917994003560386,0.10551449920359787
-0.13999999999999974,-0.11999999999999972,-0.12999999999999973,-12.999999999999973,12397,0.036297784128173895,0.14181228333177176
-0.11999999999999972,-0.0999999999999997,-0.10999999999999971,-10.999999999999972,14518,0.04250796402136232,0.18432024735313407
-0.0999999999999997,-0.07999999999999968,-0.08999999999999969,-8.99999999999997,18165,0.0531861941347325,0.23750644148786657
-0.07999999999999968,-0.059999999999999665,-0.06999999999999967,-6.999999999999967,21383,0.06260833411411974,0.3001147756019863
-0.059999999999999665,-0.03999999999999965,-0.049999999999999656,-4.999999999999965,21657,0.06341059214841188,0.3635253677503982
-0.03999999999999965,-0.01999999999999963,-0.029999999999999638,-2.9999999999999636,21078,0.06171530965988944,0.4252406774102876
-0.01999999999999963,3.885780586188048e-16,-0.00999999999999962,-0.999999999999962,24024,0.07034104750304507,0.49558172491333263
3.885780586188048e-16,0.020000000000000406,0.010000000000000397,1.0000000000000397,26607,0.07790393984821513,0.5734856647615477
0.020000000000000406,0.040000000000000424,0.030000000000000415,3.0000000000000417,27096,0.07933570692401387,0.6528213716855615
0.040000000000000424,0.06000000000000044,0.05000000000000043,5.0000000000000435,26442,0.07742082825822168,0.7302421999437833
0.06000000000000044,0.08000000000000046,0.07000000000000045,7.000000000000045,21443,0.06278401105593553,0.7930262109997188
0.08000000000000046,0.10000000000000048,0.09000000000000047,9.000000000000046,18402,0.0538801180549049,0.8469063290546237
0.10000000000000048,0.1200000000000005,0.11000000000000049,11.000000000000048,13351,0.03909104750304507,0.8859973765576687
0.1200000000000005,0.1400000000000005,0.1300000000000005,13.00000000000005,10315,0.030201794247165747,0.9161991708048345
0.1400000000000005,0.16000000000000053,0.15000000000000052,15.000000000000052,7360,0.02154970486273775,0.9377488756675723
0.16000000000000053,0.18000000000000055,0.17000000000000054,17.000000000000053,4869,0.014256183828351915,0.9520050594959242
0.18000000000000055,0.20000000000000057,0.19000000000000056,19.000000000000057,3554,0.0104059308535557,0.9624109903494799
0.20000000000000057,0.22000000000000058,0.21000000000000058,21.000000000000057,2396,0.007015365876510821,0.9694263562259907
0.22000000000000058,0.2400000000000006,0.2300000000000006,23.00000000000006,2016,0.005902745245010775,0.9753291014710015
0.2400000000000006,0.2600000000000006,0.2500000000000006,25.00000000000006,1529,0.004476834067272557,0.979805935538274
0.2600000000000006,0.28000000000000064,0.27000000000000063,27.000000000000064,1067,0.003124121615290921,0.982930057153565
0.28000000000000064,0.30000000000000066,0.29000000000000065,29.000000000000064,930,0.0027229925981448514,0.9856530497517099
0.30000000000000066,0.3200000000000007,0.31000000000000066,31.000000000000068,735,0.0021520425372435117,0.9878050922889534
0.3200000000000007,0.3400000000000007,0.3300000000000007,33.00000000000007,576,0.00168649864143165,0.9894915909303851
0.3400000000000007,0.3600000000000007,0.3500000000000007,35.00000000000007,433,0.0012678019301040008,0.9907593928604891
0.3600000000000007,0.3800000000000007,0.3700000000000007,37.00000000000007,447,0.0013087932165276868,0.9920681860770167
0.3800000000000007,0.40000000000000074,0.39000000000000073,39.00000000000007,455,0.0013322168087697929,0.9934004028857866
0.40000000000000074,0.42000000000000076,0.41000000000000075,41.00000000000008,329,0.0009632952309566195,0.9943636981167432
0.42000000000000076,0.4400000000000008,0.43000000000000077,43.00000000000008,269,0.0007876182891408226,0.9951513164058841
0.4400000000000008,0.4600000000000008,0.4500000000000008,45.00000000000008,235,0.000688068022111871,0.9958393844279959
0.4600000000000008,0.4800000000000008,0.4700000000000008,47.00000000000008,179,0.0005241028764171274,0.996363487304413
0.4800000000000008,0.5000000000000009,0.4900000000000009,49.000000000000085,177,0.0005182469783566008,0.9968817342827696
0.5000000000000009,0.5200000000000009,0.5100000000000009,51.00000000000009,155,0.0004538320996908086,0.9973355663824605
0.5200000000000009,0.5400000000000009,0.5300000000000009,53.00000000000009,170,0.0004977513351447578,0.9978333177176052
0.5400000000000009,0.5600000000000009,0.5500000000000009,55.00000000000009,167,0.000488967488053968,0.9983222852056591
0.5600000000000009,0.580000000000001,0.570000000000001,57.00000000000009,182,0.0005328867235079172,0.9988551719291671
0.580000000000001,0.600000000000001,0.590000000000001,59.0000000000001,154,0.0004509041506605453,0.9993060760798276
0.600000000000001,0.620000000000001,0.610000000000001,61.0000000000001,66,0.00019324463599737656,0.9994993207158249
0.620000000000001,0.640000000000001,0.630000000000001,63.0000000000001,24,7.027077672631875e-05,0.9995695914925512
0.640000000000001,0.660000000000001,0.650000000000001,65.0000000000001,16,4.68471844842125e-05,0.9996164386770354
0.660000000000001,0.680000000000001,0.670000000000001,67.0000000000001,15,4.3919235453949216e-05,0.9996603579124894
0.680000000000001,0.7000000000000011,0.6900000000000011,69.0000000000001,10,2.9279490302632813e-05,0.999689637402792
0.7000000000000011,0.7200000000000011,0.7100000000000011,71.00000000000011,14,4.099128642368594e-05,0.9997306286892157
0.7200000000000011,0.7400000000000011,0.7300000000000011,73.00000000000011,35,0.00010247821605921483,0.9998331069052749
