kutu_alt_m,kutu_ust_m,kutu_orta_m,kutu_orta_cm,sayim,PDF,CDF
-0.42,-0.39999999999999997,-0.41,-41.0,22,7.307998937018336e-05,7.307998937018336e-05
-0.39999999999999997,-0.37999999999999995,-0.38999999999999996,-38.99999999999999,72,0.00023917087430241828,0.00031225086367260167
-0.37999999999999995,-0.35999999999999993,-0.36999999999999994,-36.99999999999999,259,0.0008603507839489769,0.0011726016476215784
-0.35999999999999993,-0.3399999999999999,-0.3499999999999999,-34.99999999999999,285,0.0009467180441137391,0.0021193196917353176
-0.3399999999999999,-0.3199999999999999,-0.3299999999999999,-32.99999999999999,378,0.001255647090087696,0.0033749667818230135
-0.3199999999999999,-0.2999999999999999,-0.3099999999999999,-30.99999999999999,445,0.0014782088758968908,0.004853175657719904
-0.2999999999999999,-0.27999999999999986,-0.28999999999999987,-28.999999999999986,406,0.0013486579856497474,0.006201833643369651
-0.27999999999999986,-0.25999999999999984,-0.26999999999999985,-26.999999999999986,659,0.002189077863406856,0.008390911506776507
-0.25999999999999984,-0.23999999999999982,-0.24999999999999983,-24.999999999999982,1087,0.003610815838426787,0.012001727345203293
-0.23999999999999982,-0.2199999999999998,-0.22999999999999982,-22.999999999999982,1601,0.005318230135530162,0.017319957480733457
-0.2199999999999998,-0.1999999999999998,-0.2099999999999998,-20.99999999999998,2232,0.007414297103374967,0.024734254584108425
-0.1999999999999998,-0.17999999999999977,-0.18999999999999978,-18.99999999999998,3185,0.010579989370183365,0.035314243954291794
-0.17999999999999977,-0.15999999999999975,-0.16999999999999976,-16.999999999999975,5375,0.017854770130215254,0.05316901408450705
-0.15999999999999975,-0.13999999999999974,-0.14999999999999974,-14.999999999999975,7598,0.025239170874302417,0.07840818495880947
-0.13999999999999974,-0.11999999999999972,-0.12999999999999973,-12.999999999999973,9892,0.03285942067499335,0.11126760563380282
-0.11999999999999972,-0.0999999999999997,-0.10999999999999971,-10.999999999999972,12439,0.041320090353441405,0.15258769598724423
