Name tidal component,Amplitude [m],Phase [deg]
M2,0.0966,241.5
S2,0.057,256.0
K1,0.0246,286.6
O1,0.0184,264.5
N2,0.0161,242.1
K2,0.0162,252.3
P1,0.0098,300.8
MS4,0.0002,41.3
