yil,bozyazi,tasucu,erdemli,antalya
2010,6.13,4.8,2.43,4.66
2011,0.99,-0.57,-3.0,-0.72
2012,-0.91,3.54,-1.35,0.88
2013,-2.68,-1.88,0.23,3.78
2014,-4.18,-6.69,-2.55,1.89
2015,-7.63,-7.55,-2.27,1.5
2016,-4.1,-5.96,-1.28,-0.11
2017,-11.02,-9.43,-4.68,-6.8
2018,-3.43,,1.45,
2019,-4.37,3.76,0.8,-1.17
2020,0.55,2.68,1.38,-0.29
2021,5.42,1.57,0.49,-1.64
2022,4.44,0.85,-0.17,-2.2
2023,6.28,3.94,1.59,0.56
2024,8.48,5.61,4.89,2.16
2025,6.02,2.21,0.36,-1.74
2026,,3.12,1.69,-0.78
