Name tidal component,Amplitude [m],Phase [deg]
M2,0.0959,241.4
S2,0.0559,256.6
K1,0.0246,283.9
O1,0.0183,263.4
N2,0.0158,243.8
K2,0.0163,253.0
P1,0.0088,300.8
MS4,0.0003,118.6
