Name tidal component,Amplitude [m],Phase [deg]
M2,0.0935,242.2
S2,0.0561,257.0
K1,0.0253,282.8
O1,0.0184,265.6
N2,0.0153,241.5
K2,0.0157,250.9
P1,0.0088,294.8
MS4,0.0004,28.2
