kutu_alt_m,kutu_ust_m,kutu_orta_m,kutu_orta_cm,sayim,PDF,CDF
-0.4765189944314938,-0.35133257295483916,-0.41392578369316646,-41.392578369316645,2,1.1906959022200524e-05,1.1906959022200524e-05
-0.35133257295483916,-0.2261461514781845,-0.28873936221651186,-28.873936221651185,1935,0.011519982853979009,0.01153188981300121
-0.2261461514781845,-0.10095973000152986,-0.16355294073985718,-16.355294073985718,16991,0.10115557037310456,0.11268746018610577
-0.10095973000152986,0.024226691475124795,-0.03836651926320253,-3.836651926320253,91183,0.5428561222606553,0.655543582446761
0.024226691475124795,0.1494131129517795,0.08681990221345215,8.681990221345215,48734,0.2901368704939602,0.9456804529407212
0.1494131129517795,0.2745995344284341,0.2120063236901068,21.20063236901068,6450,0.038399942846596695,0.9840803957873179
0.2745995344284341,0.3997859559050887,0.3371927451667614,33.71927451667614,1669,0.009936357304026339,0.9940167530913442
0.3997859559050887,0.5249723773817434,0.46237916664341605,46.237916664341604,800,0.00476278360888021,0.9987795367002243
0.5249723773817434,0.6501587988583981,0.5875655881200708,58.75655881200708,112,0.0006667897052432294,0.9994463264054676
0.6501587988583981,0.7753452203350526,0.7127520095967254,71.27520095967253,93,0.0005536735945323244,0.9999999999999999
