bilesen,genlik_m,genlik_cm,genlik_hata_cm,faz_derece,SNR
SA,0.094310,9.4310,0.7556,245.87,155.8
M2,0.093452,9.3452,0.0641,242.16,21241.7
S2,0.056076,5.6076,0.0641,257.01,7648.1
SSA,0.045330,4.5330,0.7458,230.55,36.9
K1,0.025265,2.5265,0.0786,282.85,1033.8
O1,0.018396,1.8396,0.0786,265.59,548.1
K2,0.015745,1.5745,0.0641,250.88,603.0
N2,0.015259,1.5259,0.0641,241.50,566.4
MF,0.012628,1.2628,0.7463,152.78,2.9
MSM,0.010643,1.0643,0.7465,27.01,2.0
P1,0.008813,0.8813,0.0786,294.79,125.8
S1,0.004591,0.4591,0.0786,305.19,34.1
T2,0.004391,0.4391,0.0641,271.19,46.9
L2,0.003622,0.3622,0.0641,225.68,31.9
NU2,0.003289,0.3289,0.0641,250.46,26.3
Q1,0.002594,0.2594,0.0786,234.20,10.9
H2,0.002261,0.2261,0.0641,218.68,12.4
H1,0.002209,0.2209,0.0641,124.77,11.9
MU2,0.002186,0.2186,0.0641,266.79,11.6
NO1,0.002167,0.2167,0.0786,269.75,7.6
PI1,0.002126,0.2126,0.0786,247.34,7.3
MKS2,0.001854,0.1854,0.0641,100.90,8.4
M3,0.001751,0.1751,0.0287,14.65,37.1
PHI1,0.001731,0.1731,0.0786,269.19,4.9
J1,0.001725,0.1725,0.0786,256.17,4.8
2N2,0.001533,0.1533,0.0641,237.62,5.7
PSI1,0.001446,0.1446,0.0786,334.64,3.4
OQ2,0.001331,0.1331,0.0641,264.22,4.3
EPS2,0.001145,0.1145,0.0641,319.68,3.2
ETA2,0.000962,0.0962,0.0641,247.55,2.3
MO3,0.000862,0.0862,0.0287,72.10,9.0
S4,0.000855,0.0855,0.0188,66.49,20.7
SK3,0.000735,0.0735,0.0287,288.19,6.5
M4,0.000473,0.0473,0.0188,328.97,6.3
MK3,0.000441,0.0441,0.0287,147.71,2.4
MS4,0.000391,0.0391,0.0188,28.17,4.3
2SK5,0.000374,0.0374,0.0173,243.17,4.7
SN4,0.000372,0.0372,0.0188,178.00,3.9
2MN6,0.000310,0.0310,0.0127,238.36,6.0
2SM6,0.000289,0.0289,0.0127,228.93,5.2
MN4,0.000280,0.0280,0.0188,191.94,2.2
M8,0.000236,0.0236,0.0078,265.19,9.1
